itemname,iteminfo,itemprice
Nissan Stagea ARX turbo 2003,"220,000km, Station Wagon, petrol engine, tiptronic",
Suzuki Swift 1.6L SPORT LTD 2007,"89,907km, Hatchback, 1586cc petrol engine, manual",
MINI Cooper Only 48Kms 2005,"48,956km, Hatchback, 1590cc petrol engine",
Nissan Presage 8 SEATER!! 2006,"217,240km, RV/SUV, 2488cc petrol engine, automatic",
Honda CR-V 4WD ZX 2007,"101,584km, RV/SUV, 2354cc petrol engine, automatic",
Mazda MX-5 Roadster 2006,"88,439km, Convertible, 1998cc petrol engine, automatic",
"Nissan Skyline 250GT 18"" Mags 2006","115,597km, Sedan, 2495cc petrol engine, automatic",
Lexus RX 350 2006,"75,208km, RV/SUV, 3500cc petrol engine, automatic",
Lexus IS 250 2006,"75,063km, Sedan, 2500cc petrol engine, automatic",
Lexus GS 300 2006,"71,020km, Sedan, 3000cc petrol engine, automatic",
Lexus IS 250 2006,"85,099km, Sedan, 2500cc petrol engine, automatic",
Lexus IS 250 2006,"80,574km, Sedan, 2500cc petrol engine, automatic",
Lexus IS 250 2006,"82,106km, Sedan, 2500cc petrol engine, automatic",
Nissan March Done 43200 km 2008,"43,250km, Hatchback, 1300cc petrol engine, automatic","$4,990"
Toyota Auris 1.5L Only 53000KM 2008,"53,000km, Hatchback, 1500cc petrol engine, automatic","$8,950"
Toyota Vitz 49100 km 2007,"49,100km, Hatchback, 1300cc petrol engine, automatic","$5,190"
Suzuki Swift 69400 km 2008,"69,400km, Hatchback, 1200cc petrol engine, automatic","$6,190"
Toyota Voxy Noah 2006,"136,000km, Van, 1990cc petrol engine, automatic","$5,190"
Honda Odyssey 2005,"170,000km, Station Wagon, 2354cc petrol engine, automatic",
Mazda CX-7 2006,"92,130km, RV/SUV, 2260cc petrol engine, automatic",
Audi A4 1.8T 2007,"100,253km, Sedan, 1780cc petrol engine, automatic",
Foton Tunland 2Wd Sports 2015,"54,100km, Ute, 2776cc diesel engine, manual",
BMW 323i 323I 2006,"85,700km, Sedan, 2490cc petrol engine, automatic",
Mitsubishi Outlander 24E 2009,"189,257km, RV/SUV, 2400cc petrol engine, automatic",
Nissan Wingroad 1999,"192,554km, Station Wagon, 1496cc petrol engine",
BMW 540i M sport LCI facelift was$22K 2007,"87,000km, Sedan, 4000cc petrol engine, automatic",
Subaru Legacy GT facelift 107Ks NEW CAMBELT 2007,"107,000km, Station Wagon, 2000cc petrol engine, automatic",
"Honda Inspire 35TL lowered 18""alloys 75Ks 2008","75,000km, Sedan, 3500cc petrol engine, automatic",
Honda Odyssey 1998,"304,092km, Station Wagon, 2250cc petrol engine",
Toyota Corolla Sedan 1994,"158,523km, Sedan, 1587cc petrol engine, manual","$2,500 "
Toyota Hilux Surf Ssr G 1996,"341,762km, Station Wagon, 2982cc diesel engine, automatic",
Mitsubishi Pajero Gdi Lwb Gls 2000,"275,000km, RV/SUV, 3497cc petrol engine, automatic","$5,300 "
Toyota Passo 2010,"20,100km, Hatchback, 1000cc petrol engine, automatic",
Toyota Prius 2002,"139,587km, Sedan, 1496cc hybrid engine, automatic",
Subaru Forester 2.0 X 2008,"119,484km, RV/SUV, 2000cc petrol engine, automatic",
Nissan Stagea 350RX 2004,"185,000km, RV/SUV, 3498cc petrol engine, tiptronic",
Mercedes-Benz C 280 NZ NEW Avantgarde 2009,"109,000km, Sedan, 3000cc petrol engine, automatic",
Toyota Mark-X Prieum 2005,"99,230km, Sedan, 2994cc petrol engine, automatic","$8,200 "
BMW 320i 2001,"122,457km, Sedan, 2170cc petrol engine, automatic",
Suzuki Swift 2011,"99,461km, Hatchback, 1200cc petrol engine, automatic",
Nissan Wingroad 2001,"191,965km, Station Wagon, 1998cc petrol engine, automatic",
Suzuki Swift XG 2008,"62,113km, Hatchback, 1240cc petrol engine, automatic",
Mitsubishi Colt LS PLUS SERIES 2 2009,"81,000km, Hatchback, 1499cc petrol engine, automatic",
Toyota Hiace 3.0D 1995,"344,000km, RV/SUV, 2982cc diesel engine","$6,000 "
"Toyota Altezza LOW K'S, CAM-BELT DONE 1999","146,000km, Sedan, 2000cc petrol engine",
Toyota Hilux Surf SSR-G 3.0TD 5SPD 184K! 1993,"184,334km, RV/SUV, 3000cc diesel engine, manual",
Subaru Legacy B4 AWD Manual *Finance Availabl 2004,"179,937km, Sedan, 2000cc petrol engine, manual",
Toyota Prius Hybrid 2012,"85,931km, Sedan, 1800cc hybrid engine, automatic",
BMW X1 xDrive 20i Turbo iDrive 2012,"68,330km, RV/SUV, 2000cc petrol engine, tiptronic",
"Mitsubishi Grandis Cruise control, Camera Sma 2005","53,669km, Station Wagon, 2370cc petrol engine, automatic",
Toyota RAV4 G Reverse Camera Cruise Control 2008,"84,511km, RV/SUV, 2400cc petrol engine, automatic",
BMW 320d 320D 2013,"32,000km, Sedan, 1995cc diesel engine, automatic",
BMW Mini Cooper Low K's Mint condition 2008,"58,500km, Hatchback, 1600cc petrol engine",
Lexus GS 450h Hybrid 3.5L Top Spec 2006,"115,000km, Sedan, 3500cc petrol engine, tiptronic",
Audi A4 TFSI 1.8L Turbo 77 kms 2009,"77,000km, Sedan, 1800cc petrol engine, tiptronic",
Audi A6 2.4L MMI low k's 2007,"39,936km, Sedan, 2400cc petrol engine, tiptronic",
Audi A4 2.0L 2005,"98,800km, Sedan, 1980cc petrol engine, automatic",
Suzuki Swift 1.2L Low k's Smart Key 2008,"72,800km, Hatchback, 1200cc petrol engine, automatic",
Toyota Mark-X 250G 2010,"88,337km, Sedan, 2500cc petrol engine, automatic",
Lexus GS 350 10 X AIRBAGS SMARTKEYS LUXURY 2006,"90,000km, Sedan, 3500cc petrol engine, automatic",
Toyota Mark-X Zio 2.4L 6 seats Push Start 2008,"117,000km, Station Wagon, 2400cc petrol engine, tiptronic",
Nissan Teana 2011,"84,468km, Sedan, 2500cc petrol engine, automatic",
Toyota Hilux Surf 1995,"322,944km, Station Wagon, 2982cc diesel engine, automatic",
Ford Falcon Bf2 Xr6 2007,"188,551km, Sedan, 3984cc petrol engine, automatic","$7,900 "
Nissan X-Trail 2.0L CVT 2WD 2013,"73,445km, RV/SUV, 1997cc petrol engine, automatic",
Nissan NV200 DX 2012,"116,339km, Van, 1600cc petrol engine, automatic","$11,995"
Nissan Primera 2001,"170,857km, Sedan, 1998cc petrol engine, automatic",$800
Mazda Axela Sports 2004,"55,449km, Hatchback, 1500cc petrol engine, automatic","$5,995"
Mazda 6 2.5 GSX Auto 2009,"122,000km, Station Wagon, 2489cc petrol engine, automatic","$13,000"
Mitsubishi Triton 2WD 2.5D C/cab GLX M 2009,"95,400km, Ute, 2477cc diesel engine, manual","$18,995"
Mahindra XUV500 W8 2014,"90,000km, RV/SUV, 2179cc diesel engine, manual",
Volkswagen Tiguan TSi 132kW 4MOTION DSG 2014,"49,000km, RV/SUV, 1984cc petrol engine, automatic","$25,990"
Toyota Corolla GX Signature Class 2 Years ... 2015,"54,900km, Hatchback, 1798cc petrol engine, automatic","$20,995"
Mazda CX-5 LOW KMS 2015,"10,400km, RV/SUV, 2000cc petrol engine, automatic","$29,995"
Toyota Prius 1.8 new shape low ks 2010,"78,143km, Sedan, 1800cc petrol engine, automatic","$11,490"
Bentley Bentayga 6.0 W12 2017,"< 1000km, RV/SUV, 5998cc petrol engine, automatic","$390,000"
Suzuki Swift GL 2017,"< 1000km, Hatchback, 1242cc petrol engine, automatic","$21,990"
Ford Focus TITANIUM 1.5L HATCH 2016,"9,500km, Hatchback, 1500cc petrol engine, automatic","$32,990"
Jeep Wrangler 2014,"30,935km, RV/SUV, 3600cc petrol engine, automatic","$54,990"
Mazda MX6 1992,"148,027km, Coupe, 1995cc petrol engine, manual",
Audi TT Quattro S NZ new from $98 per week 2006,"164,939km, Coupe, 3189cc petrol engine, automatic",
Chevrolet Belair 1961,"99,999km, Sedan","$13,000"
Subaru Legacy GX 1993,"325,114km, Sedan, 2200cc petrol engine, automatic",
Honda City CE 1997,"65,589km, Hatchback, petrol engine, automatic",$750 
Holden Captiva LTZ 2017,"13,200km, RV/SUV, 2997cc petrol engine, automatic","$39,990"
Holden Trailblazer LTZ 2017,"11,100km, RV/SUV, 2776cc diesel engine, automatic","$49,995"
Nissan Stagea 1998,"269,754km, Station Wagon, petrol engine, automatic",
Holden Colorado LS RC CC 2016,"48,987km, Ute, 2776cc diesel engine, manual","$31,995"
Toyota Starlet GL Hatch - NZ New 1995,"87,776km, Hatchback, 1297cc, automatic","$4,490"
Nissan Tiida LATIO**KEYLESS ENTRY_ ONLY 2... 2005,"27,000km, Sedan, 1500cc petrol engine, automatic","$5,940"
MINI Cooper 2007,"101,357km, Hatchback, 1598cc petrol engine, automatic","$12,350"
Hyundai H1 Crdi S 2010,"157,250km, Van, 2497cc diesel engine, manual",
Subaru Impreza 1997 1997,"200,000km, Sedan, petrol engine, automatic","$1,000 "
Holden Cruze Cdx 1.8 8 airbags 2010,"83,206km, Sedan, 1796cc petrol engine, automatic",
Volkswagen Beetle 2000,"244,061km, Hatchback, 1984cc petrol engine, automatic",
Toyota Aqua Hybrid 2012,"103,705km, Hatchback, 1490cc hybrid engine, automatic","$9,750"
Toyota Caldina 2003,"196,110km, RV/SUV, 1998cc petrol engine, automatic",
Mitsubishi Triton Dcab/Chass 2006,"255,500km, Ute, 2835cc diesel engine, manual",
Nissan Navara D/C W/S Vent 2004,"185,774km, Ute, 2488cc diesel engine, manual",
Ford Falcon Fg Xr6 2009,"165,800km, Sedan, 3984cc petrol engine, automatic",
Toyota Wish 2004,"46,400km, Station Wagon, 1998cc petrol engine, automatic",
Nissan Navara S/C C/C 2006,"110,200km, Ute, 2488cc diesel engine, manual",
Holden Crewman S 2005,"266,000km, Ute, 3600cc petrol engine","$10,200 "
Mercedes-Benz GLE 250 d 4MATIC - NZ New 2015,"20,300km, RV/SUV, 2143cc diesel engine, automatic","$87,990"
Subaru Impreza 2.0ltr R AWD SPORT HATCH NZ... 2008,"103,218km, Hatchback, 1994cc petrol engine, automatic","$9,250"
Toyota Camry GL 2.4 LTR NZ NEW IMMACULATE 2009,"152,100km, Sedan, 2362cc petrol engine, automatic","$8,980"
Holden Commodore Berlina V6 2005,"225,889km, Sedan, 3565cc petrol engine, automatic","$6,000 "
Subaru Legacy 2.5i Premium AWD Leather NZ ... 2009,"79,200km, Sedan, 2457cc petrol engine","$12,980"
Ford Ranger XL 4WD D/C W/S AUTO 2016,"21,000km, Ute, 3200cc diesel engine, tiptronic","$41,800"
Mercedes-Benz C 200 Petrol - NZ New 2016,"11,000km, Sedan, 1991cc petrol engine, automatic","$53,990"
Mercedes-Benz A 180 Petrol - NZ New 2017,"10,400km, Hatchback, 1595cc petrol engine, automatic","$39,990"
Honda Elysion Low KMs 2008,"67,680km, Van, 3000cc petrol engine, automatic",
Mitsubishi Outlander 4WD 7-Seater 2006,"61,700km, RV/SUV, 2400cc petrol engine, automatic",
Ford Falcon xf 1985,"999,999km, Ute, 302cc petrol engine, automatic",
Nissan Primera 2001,"294,539km, Station Wagon, 2488cc petrol engine, automatic",$1 
Mitsubishi Lancer 1998,"178,000km, Sedan, 1460cc petrol engine","$1,500 "
Mitsubishi Chariot Grandis Exceed Gdi 1998,"202,409km, Station Wagon, 2350cc petrol engine","$2,500"
Nissan Caravan CHECK OUR OTHER LISTINGS OUT 2012,"121,000km, Van, 2500cc diesel engine, automatic",
Mercedes-Benz Other 200 1982,"148,706km, Sedan, 2000cc petrol engine, automatic",
Nissan Sunny 1995,"212,945km, Sedan, 1490cc petrol engine, automatic",
Ford Falcon GTP 2003,"170,000km, Sedan, petrol engine, automatic",
Toyota Allex Toyota 2006,"32,868km, Hatchback, 1500cc petrol engine, automatic",
Mazda Demio Nice in Black-0 Deposit Financ... 2011,"83,958km, Hatchback, 1340cc petrol engine, automatic","$7,799"
Mercedes-Benz GLA 45 AMG 4MATIC - NZ New 2015,"22,000km, RV/SUV, 1991cc petrol engine, automatic","$74,990"
Subaru Outback 3.6R Premium 2017,"5,915km, RV/SUV, 3630cc, automatic","$53,990"
Nissan X-Trail 4X4 2.5L 2008,"153,818km, RV/SUV, 2490cc petrol engine, automatic","$9,750"
"Toyota Vitz Nice looks""""-0 Deposit Finance... 2007","92,684km, Hatchback, 1300cc petrol engine, automatic","$5,899"
Mercedes-Benz GLC 43 AMG Coupe - NZ New 2017,"1,500km, RV/SUV, 2996cc petrol engine, automatic","$119,990"
Toyota RAV4 J 1995,"161,500km, RV/SUV, 2000cc petrol engine, automatic",
Toyota Vitz 1.3 8x Air Bags 2009,"62,699km, Hatchback, 1300cc petrol engine, automatic",
Mazda Atenza *Mazda 6 / 1990cc* 2005,"55,961km, Hatchback, 1990cc petrol engine, automatic",
Nissan Vanette 2007,"171,200km, Van, diesel engine, automatic",
Toyota Mark-X ZIO 2.4 7 Seater 2008,"52,296km, Station Wagon, 2400cc petrol engine, automatic",
Ford Kuga Titanium 2013,"67,887km, RV/SUV, 1596cc petrol engine, automatic",
Holden Commodore Sportwgn Sv6 2009,"210,000km, Station Wagon, 3564cc petrol engine, automatic","$11,900"
Toyota Corona 1992,"163,840km, Sedan, 1830cc petrol engine","$1,750 "
BMW 116i 116I 2009,"30,149km, Hatchback, 1596cc petrol engine, automatic","$10,999 "
Toyota Lucida 1996,"141,893km, Station Wagon, 2430cc petrol engine, automatic",
Hyundai i30 CRDI 2013,"165,036km, Station Wagon, 1600cc diesel engine, automatic","$11,950"
Nissan Navara ST GNX VENOM - Giltrap EXCLU... 2017,"< 1000km, Ute, 2298cc diesel engine, manual","$46,990"
Honda CR-V Sport Wag NZ NEW SPORT 4WD CHAI... 2006,"239,000km, RV/SUV, 2354cc petrol engine, automatic","$5,799"
Mazda CX-3 GSX 2.0 Petrol A6 2017,"1,250km, RV/SUV, 1998cc petrol engine, automatic","$32,990"
Mercedes-Benz ML 350 ML350 2015,"38,000km, Station Wagon, 2987cc diesel engine, automatic","$89,999"
Mazda Tribute V6 2001,"188,930km, Station Wagon, 3000cc petrol engine, automatic","$3,995"
Honda Accord 2.4 Euro Type S 2004,"34,818km, Sedan, 2350cc petrol engine, automatic","$8,989"
Nissan Tiida 15M 2006,"97,028km, Hatchback, 1500cc petrol engine, automatic","$7,499"
Toyota Hilux 1995,"345,705km, Station Wagon, 2982cc diesel engine, automatic","$6,999"
Toyota Harrier 300G 2005,"96,594km, RV/SUV, 2990cc petrol engine, automatic","$14,650"
Ford Ranger XL D/C 4X2 Auto - Prestige Edi... 2017,"< 1000km, Ute, 3198cc diesel engine, automatic","$52,990"
Toyota Curren 3SGE AUTO 1994,"243,500km, Coupe, 1998cc petrol engine, automatic","$1,440"
Nissan Dualis 20G 2008,"47,690km, RV/SUV, 2000cc petrol engine, automatic","$12,650"
Mercedes-Benz GT AMG GTS 375kW NZ New 2016,"2,600km, Coupe, 3982cc petrol engine, automatic","$174,990"
"Toyota Corolla GX Sedan, 1.8 petrol 2007","191,000km, Sedan, 1798cc petrol engine, automatic","$7,995"
Toyota Hiace ZX Jumbo 2014,"91,000km, Van, 3000cc diesel engine, automatic","$35,990"
Toyota Sienta disability rear ramp disabil... 2013,"19,394km, Station Wagon, 1490cc petrol engine, automatic","$31,050"
Toyota Land Cruiser LX Turbo 1988,"191,000km, RV/SUV, 3400cc diesel engine, manual",
Nissan Tiida Latio 2007,"38,000km, Sedan, 1800cc petrol engine, automatic","$6,500"
BMW 525i 525i Touring MSport - HUGE WARRANTEE 2007,"144,000km, Station Wagon, 2496cc petrol engine, automatic",
Mercedes-Benz CLK Clk430 Avantgde Cab 2000,"151,616km, Convertible, 4266cc petrol engine, automatic",
Mazda Bounty Dbl Cab W/S Td 2000,"424,000km, Ute, 2499cc diesel engine, manual",
"Volkswagen GOLF 2.3 V5 AUTO, Leather, NZ New, 2002","168,700km, Hatchback, 2324cc petrol engine, automatic",
MINI One 2008,"122,569km, Hatchback, 1396cc petrol engine, automatic",
Nissan Maxima Ti Leather 2001,"306,000km, Sedan, 2988cc petrol engine, automatic",
BMW Z3 2.0 2000,"97,558km, Convertible, 2000cc petrol engine, automatic",
Toyota Vitz LOW KM'S 2010,"41,540km, Hatchback, 996cc petrol engine, automatic",
Audi A6 Quattro Tip NZ NEW 2006,"141,225km, Sedan, 3123cc petrol engine, automatic",
Nissan Tiida 15M 4WD AS NEW H/LEATHER 2006,"30,000km, Hatchback, 1500cc petrol engine, automatic","$7,540"
Nissan Tiida HATCH LOW KMS BLUETOOTH AUDIO 2008,"76,179km, Hatchback, 1490cc petrol engine, automatic","$8,995"
Honda CR-V CRV SPORT N 2014,"60,150km, RV/SUV, 2354cc petrol engine, automatic","$29,900"
Toyota Corolla GX FWD 1.8P HATCH CVT - Sig... 2015,"46,129km, Hatchback, 1798cc petrol engine, automatic","$20,990"
"Mazda Axela 2.0L ALLOYS, KEYLESS 2006","99,185km, Hatchback, 2000cc petrol engine, automatic","$7,979"
Mazda Verisa GOOD LOOKER 2005,"125,252km, Hatchback, 1490cc petrol engine, automatic","$7,995"
Holden Cruze CDX 2010,"95,221km, Sedan, 1800cc petrol engine, tiptronic","$12,999"
Holden Rodeo Lx Crew Cab 2006,"224,800km, Ute, 2999cc diesel engine, manual","$18,000"
Mercedes-Benz E350 Diesel 2010,"73,000km, Sedan, 3000cc diesel engine, automatic","$26,990"
Toyota FunCargo 2004,"107,791km, Hatchback, 1290cc petrol engine, automatic","$6,995"
Mazda Axela MPS TURBO NEW 19 INCH ALLOYS 2006,"120,030km, Hatchback, 2300cc petrol engine, manual","$17,995"
Honda CR-V CRV SPORT 2010,"84,953km, RV/SUV, 2354cc petrol engine, automatic","$17,990"
Volkswagen Passat Alltrack 2.0TSI 2012,"74,000km, Station Wagon, 2000cc petrol engine, tiptronic","$25,990"
Nissan Cube GREAT BUYING 2008,"119,694km, Hatchback, 1490cc petrol engine, automatic","$8,995"
Volvo XC60 T6 AWD *52km* 2012,"52,000km, RV/SUV, 30006cc petrol engine, automatic","$29,990"
Nissan Tiida HATCH LOW KMS BLUETOOTH AUDIO 2004,"36,706km, Hatchback, 1490cc petrol engine, automatic","$8,995"
Toyota Hilux Surf SSR-G VZN130 1991,"283,380km, RV/SUV, 2958cc petrol engine, automatic","$4,200 "
Ford F150 1994,"75,599km, Ute, 5000cc petrol engine, automatic",
Subaru Impreza 2010,"91,894km, Hatchback, 1990cc petrol engine, automatic","$14,000 "
Mitsubishi Pajero io 1999,"200,000km, RV/SUV, 1830cc petrol engine, automatic","$1,600 "
Toyota Opa 2005,"89,895km, Station Wagon, 1794cc petrol engine, automatic","$6,990"
Nissan Teana 2005,"100,393km, Sedan, 2399cc petrol engine, automatic","$5,500"
Nissan Skyline R32 1992,"191,000km, Coupe, 2000cc petrol engine, manual","$15,000 "
Jeep Cherokee Limited 2005,"258,505km, RV/SUV, 2800cc diesel engine, automatic","$7,900"
Jeep Cherokee Limited 1996,"255,000km, RV/SUV, 4000cc petrol engine, automatic","$2,950"
BMW 320i *LCI*Roof Rail*1 Owner History* 2009,"92,044km, Station Wagon, 2000cc petrol engine, tiptronic","$11,999"
Peugeot 307 CPE CAB 2006,"62,396km, Convertible, 2000cc petrol engine, automatic","$10,995"
Holden Commodore ZERO Deposit & $171.00 Pe... 2014,"67,500km, Station Wagon, 3564cc petrol engine, automatic","$31,875"
Holden Commodore VF2 CALAIS-V 2017,"1,500km, Sedan, 6162cc petrol engine, automatic","$66,888"
Ford Fiesta ZERO Deposit & $103.00 Per Week 2015,"16,750km, Hatchback, 999cc petrol engine, automatic","$18,875"
Toyota Corolla Allex 2001,"79,067km, Hatchback, 1500cc, automatic","$5,995"
Subaru Impreza 2002,"158,148km, Hatchback, 1500cc petrol engine, automatic","$3,500"
Volkswagen Other Lupo 2004,"125,003km, Hatchback, 1380cc petrol engine, automatic","$3,000 "
Holden Rodeo Lt Crew 2005,"321,991km, Ute, 2999cc diesel engine, manual","$11,000"
BMW 116i Sports Hatch SE 2014,"37,500km, Hatchback, 1598cc petrol engine, automatic","$25,990"
Mazda Titan 2003,"235,505km, Ute, 1998cc petrol engine, manual","$9,995"
Nissan Tiida 15G 5 Door Hatch *LEATHER* 2008,"59,706km, Hatchback, 1498cc petrol engine, automatic","$7,700"
Volkswagen Amarok 340 2013,"82,000km, Ute, 1968cc diesel engine, manual","$29,000 "
Triumph Other Vitesse 1962,"57,000km, Coupe, 1600cc petrol engine, manual","$4,500 "
Nissan Wingroad 2005,"129,323km, Station Wagon, 1497cc petrol engine, automatic","$4,900 "
Honda CR-V LOW km New import 2004,"99,000km, RV/SUV, 1990cc petrol engine, automatic","$7,900"
BMW 320i M SPORT CARBON EDITION 2007,"34,814km, Sedan, 1999cc petrol engine, automatic","$23,500 "
Volkswagen Passat W8 Tip Variant 2003,"118,000km, Station Wagon, 4000cc petrol engine, automatic","$7,500 "
Mazda B2500 1998,"170,367km, Van, diesel engine, manual","$3,500 "
Ford Focus 2004,"80,200km, Hatchback, 1596cc petrol engine, automatic","$5,500"
Holden Commodore VE OMEGA 2007,"130,000km, Sedan, 3565cc, automatic","$13,990"
Holden Colorado 4x4 Z71 2017,"< 1000km, Ute, 2776cc diesel engine, automatic","$52,990"
"Mazda MPV New Shape, 2 remote electric door 2006","81,659km, RV/SUV, 2260cc petrol engine, automatic","$8,000"
Mitsubishi Outlander VRX NZ NEW 2014,"44,000km, RV/SUV, 2268cc diesel engine, automatic","$31,500"
Lexus IS 250 Ltd 2006,"121,840km, Sedan, 2500cc petrol engine, automatic","$14,500 "
Mazda 3 Sporthatch Mps 2009,"92,320km, Hatchback, 2261cc petrol engine, manual","$21,000 "
Subaru Forester 1998,"257,364km, Station Wagon, 1994cc petrol engine, automatic",$700 
Subaru Impreza Gx 2005,"223,362km, Hatchback, 1994cc petrol engine, manual","$4,500 "
Volkswagen Golf Mk 4 2003,"161,235km, Hatchback, 2000cc petrol engine, automatic","$3,500"
Holden Commodore Vt Calais 1999,"216,178km, Sedan, 3794cc petrol engine, automatic","$2,800 "
Mazda CX-7 CRUISING PACKAGE 2009,"74,500km, Station Wagon, 2261cc, automatic","$15,995"
Subaru Omega Leone GT/AT 1984,"125,000km, Sedan, 1800cc petrol engine, automatic","$5,999 "
Mazda Proceed 1996,"266,620km, Station Wagon, 2490cc diesel engine","$1,400 "
Nissan Cefiro S Touring 1999,"245,104km, Sedan, 2495cc petrol engine, automatic",$700 
Honda Fit 2007,"97,767km, Hatchback, 1500cc","$7,990"
Holden Barina RS Auto 2014,"11,000km, Hatchback, 1364cc, automatic","$16,990"
Subaru Legacy GT 2.5i 4WD Eyesight Wagon 2012,"178,237km, Station Wagon, 2500cc petrol engine, tiptronic","$14,950"
Suzuki Swift 2005,"91,075km, Hatchback, 1500cc, automatic","$7,990"
Toyota Mark-X 2005,"108,019km, Sedan, 2500cc, automatic","$8,990"
Suzuki Swift 2007,"40,705km, Hatchback, 1300cc","$9,990"
Mazda Atenza 20S 2.0 Sports Wagon New Shape 2013,"182,798km, Station Wagon, 2000cc petrol engine, tiptronic","$14,950"
Nissan Murano 350XV 4WD 2005,"152,525km, Station Wagon, 3500cc petrol engine, tiptronic","$10,999"
Toyota Mark-X Zio 350G 2008,"106,204km, Station Wagon, 3500cc petrol engine, tiptronic","$10,999"
Honda Stream 2009,"133,230km, Van, 2000cc, automatic","$7,990"
Toyota Hiace DX GL 3.0D 5 Door Twin Sliders 2008,"199,248km, Van, 3000cc diesel engine, automatic","$18,950"
Suzuki Swift 2006,"124,015km, Hatchback, 1300cc, automatic","$7,990"
Toyota Wish 2004,"137,826km, Van, 1800cc, automatic","$7,990"
Audi S5 2008,"183,430km, Coupe, 4160cc petrol engine, tiptronic","$18,995"
Nissan Tiida 2004,"122,379km, Hatchback, 1500cc, automatic","$7,990"
Honda Odyssey 2004,"84,269km, Van, 2400cc, automatic","$7,990"
Toyota Avensis Wagon 2004,"109,032km, Station Wagon, 1998cc petrol engine, automatic","$6,400 "
Mitsubishi L300 NZ NEW-Diesel/Manual-0 Dep... 2004,"244,800km, Van, 2477cc diesel engine, manual","$4,500"
Mazda Atenza 2003,"215,249km, Station Wagon, 2260cc petrol engine, automatic","$6,000"
Nissan Fuga 350GT Sports Package 2006,"72,000km, Sedan, 3500cc petrol engine, automatic","$12,990"
Audi A5 2.0 TFSI QUATTRO LIFTBACK NZ GPS L... 2012,"22,000km, Hatchback, 2000cc petrol engine, automatic","$31,890"
Land Rover Discovery Sport TD4 (110kW) SE 2017,"6,500km, RV/SUV, 1999cc diesel engine, automatic","$64,900"
Mazda MPV 2002,"190,261km, Van, 2268cc petrol engine, automatic","$3,495"
Land Rover Discovery Sport TD4 (110kW) SE 2017,"8,300km, RV/SUV, 1999cc diesel engine, automatic","$67,900"
BMW 525i 2005,"50,062km, Sedan, 4400cc petrol engine, automatic","$12,495"
Volkswagen Tiguan TSI R-Line 4Motion 2017,"3,000km, RV/SUV, 1984cc petrol engine, automatic","$66,990"
Volkswagen Golf TSI Comfortline 2017,"3,000km, Hatchback, 1395cc petrol engine, automatic","$36,490"
Land Rover Discovery Sport TD4 (110kW) SE 2017,"6,500km, RV/SUV, 1999cc diesel engine, automatic","$68,900"
Mitsubishi Outlander 7 Seater! 4WD! 2005,"112,577km, RV/SUV, 2400cc petrol engine, automatic","$11,995"
Mazda Axela SPORT 23ST FULL LEATHER EXCELL... 2007,"88,150km, Hatchback, 2300cc petrol engine, automatic","$11,890"
Nissan e-NV200 VX FULL ELECTRIC NZ CHARGER... 2015,"2,581km, Van, electric engine, automatic","$23,980"
Mitsubishi L300 LWB 2.5D 9 SEATER $55PW 2007,"206,575km, Van, 2477cc diesel engine, manual","$7,995"
Nissan Dualis 20G 4WD GLASS ROOF REVERSE CAM 2010,"64,544km, RV/SUV, 2000cc petrol engine, automatic","$16,480"
Mercedes-Benz ML 250 ML250 Bluetec 2014,"121,189km, RV/SUV, 2143cc diesel engine, tiptronic","$52,500"
Mazda MX-5 Roadster Soft Top 2.0 Petrol M6 2016,"10,250km, Convertible, 1998cc petrol engine, manual","$37,990"
Renault Scenic **Budget Range** 2002,"131,000km, Station Wagon, 2000cc petrol engine, automatic","$4,999"
Holden Viva station wagon 2006,"152,000km, Station Wagon, 1cc petrol engine, manual","$5,000 "
Honda CR-V FULL LEATHER EXCELLENT CONDITION 2007,"73,250km, RV/SUV, 2400cc petrol engine, automatic","$13,480"
Mercedes-Benz V 350 AMBIENTE LWB SUNROOF L... 2012,"67,000km, Van, 3500cc petrol engine, automatic","$33,890"
Toyota Corolla FX - GT 1990,"220,271km, Hatchback, 1600cc petrol engine, manual","$1,995"
Nissan Safari 4.2D Granroad 1989,"336,181km, Station Wagon, 4169cc diesel engine, automatic","$8,995"
Mercedes-Benz C 300 2008,"58,000km, Sedan, 3000cc petrol engine, automatic","$18,990 "
Nissan Elgrand 2005,"187,006km, RV/SUV, 2495cc petrol engine, automatic","$8,000"
Nissan Navara d21 1985,"307,343km, Ute, 2cc diesel engine, manual","$5,000"
Holden Commodore executive 1990,"297,806km, Sedan, 3cc petrol engine, automatic",
Toyota Hiace 2004,"300,176km, Van, 2494cc diesel engine, manual",
Nissan Silvia Varietta / convertible 2000,"167,748km, Convertible, 1998cc petrol engine, automatic",
Fiat Punto Easy 2015,"< 1000km, Hatchback, 1368cc petrol engine, manual",
Nissan Wingroad sports 2006,"114,000km, Station Wagon, 1590cc petrol engine, automatic",
Holden Commodore Z Series SIDI 2012,"98,200km, Sedan, 3600cc petrol engine, automatic","$21,990"
Mitsubishi Pajero Exceed 2015,"58,000km, RV/SUV, 3200cc diesel engine, automatic","$45,990"
Mazda BT-50 GSX 2WD D/CAB AUTO 3.2L DIESEL... 2012,"134,900km, Ute, 3200cc, automatic","$27,995"
